Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
274,108.603,250,70,347,332,82,360,83.887,92.951,255,255
274,103.002,113,237,267,144,291,333,90.736,89.665,255,255
274,101.749,32,152,278,80,220,248,88.476,90.759,255,255
274,100.306,332,82,360,384,151,382,89.157,90.104,255,255
274,98.672,329,498,376,393,458,398,78.613,87.770,255,255
274,97.973,249,196,284,250,282,292,86.377,86.940,255,255
274,97.242,310,237,200,350,267,269,85.212,84.507,255,255
274,95.734,342,17,300,396,75,341,89.224,90.856,255,255
274,94.943,273,235,163,241,189,210,73.137,84.112,255,255
274,94.536,388,227,353,451,261,388,79.687,80.971,255,255
274,93.843,211,100,297,238,39,331,74.873,81.892,255,255
274,91.650,25,376,178,61,317,145,76.590,82.678,255,255
274,90.015,269,398,214,337,383,246,76.636,81.315,255,255
274,88.485,411,294,253,441,267,256,40.472,77.128,255,255
274,88.454,172,177,307,101,162,320,73.722,74.880,255,255
274,87.728,36,155,63,37,151,115,52.163,72.784,255,255
274,84.843,476,224,391,451,261,388,44.755,73.655,255,255
274,84.282,411,294,253,350,267,269,68.600,75.237,255,255
274,83.265,497,394,291,495,419,352,65.955,77.519,255,255
274,81.925,249,196,284,211,137,288,70.292,68.907,255,255
274,81.015,335,372,378,274,363,392,63.230,66.428,255,255
274,79.141,188,264,394,195,199,399,65.567,68.932,255,255
274,78.723,291,238,96,273,235,163,69.441,70.370,255,255
274,78.632,176,371,277,228,393,321,71.582,69.073,255,255
274,77.672,73,491,276,109,440,280,62.554,66.293,255,255
274,76.919,409,173,409,347,164,428,65.468,67.919,255,255
274,76.821,167,274,230,213,277,277,65.833,67.103,255,255
274,76.039,339,274,380,334,297,434,58.907,59.927,255,255
274,75.625,497,394,291,459,417,329,58.455,66.350,255,255
274,74.115,291,238,96,310,184,104,57.801,64.813,255,255
274,73.044,24,292,114,61,317,145,54.360,64.203,255,255
274,69.701,180,317,367,188,264,394,60.017,59.513,255,255
274,69.601,226,177,220,259,176,270,59.917,60.441,255,255
274,64.651,415,508,379,442,464,387,52.240,58.156,255,255
274,64.197,143,251,185,167,274,230,55.946,55.881,255,255
274,63.994,355,342,213,337,383,246,55.624,55.044,255,255
274,63.355,148,367,229,176,371,277,55.714,55.057,255,255
274,63.048,290,151,282,305,173,328,53.151,55.069,255,255
274,62.922,274,363,392,299,405,417,54.900,53.151,255,255
274,61.819,156,206,156,143,251,185,55.091,53.593,255,255
274,61.705,162,147,24,211,142,34,50.259,53.496,255,255
274,61.172,144,291,333,180,317,367,55.929,54.070,255,255
274,60.533,130,409,201,148,367,229,53.591,52.368,255,255
274,60.415,259,72,135,285,53,177,52.924,51.743,255,255
274,60.186,182,10,375,188,46,417,55.642,56.382,255,255
274,59.262,273,235,163,310,237,200,52.364,53.830,255,255
274,57.480,299,405,417,328,446,420,50.309,50.181,255,255
274,55.702,338,342,451,334,297,434,48.270,49.429,255,255
274,50.237,127,214,123,156,206,156,44.654,43.585,255,255
274,49.484,195,199,399,218,163,399,42.720,40.743,255,255
274,48.898,459,417,329,495,419,352,42.767,42.891,255,255
274,47.951,337,383,246,351,409,278,43.543,43.407,255,255
274,47.655,259,176,270,290,151,282,41.593,40.107,255,255
274,46.506,509,390,369,504,426,363,36.837,40.378,255,255
